pair,M,N,seed,mirror,winner_label,turns,unresolved
WDD:WBB,1,1,10100,0,B,29,false
WDD:WBB,1,1,10100,1,B,32,false
WDD:WBB,1,1,10101,0,B,27,false
WDD:WBB,1,1,10101,1,B,22,false
WDD:WBB,1,1,10102,0,B,15,false
WDD:WBB,1,1,10102,1,B,20,false
WDD:WBB,1,1,10103,0,B,19,false
WDD:WBB,1,1,10103,1,B,16,false
WDD:WBB,1,1,10104,0,B,23,false
WDD:WBB,1,1,10104,1,B,18,false
WDD:WBB,1,1,10105,0,B,31,false
WDD:WBB,1,1,10105,1,B,25,false
WDD:WBB,1,1,10106,0,B,39,false
WDD:WBB,1,1,10106,1,draw,100,true
WDD:WBB,1,1,10107,0,B,19,false
WDD:WBB,1,1,10107,1,B,24,false
WDD:WBB,1,1,10108,0,B,17,false
WDD:WBB,1,1,10108,1,B,22,false
WDD:WBB,1,1,10109,0,B,31,false
WDD:WBB,1,1,10109,1,B,22,false
WDD:WBB,1,1,10110,0,B,19,false
WDD:WBB,1,1,10110,1,B,22,false
WDD:WBB,1,1,10111,0,B,35,false
WDD:WBB,1,1,10111,1,B,18,false
WDD:WBB,1,1,10112,0,B,33,false
WDD:WBB,1,1,10112,1,draw,100,true
WDD:WBB,1,1,10113,0,B,31,false
WDD:WBB,1,1,10113,1,B,18,false
WDD:WBB,1,1,10114,0,B,35,false
WDD:WBB,1,1,10114,1,B,22,false
WDD:WBB,1,1,10115,0,B,15,false
WDD:WBB,1,1,10115,1,B,22,false
WDD:WBB,1,1,10116,0,B,35,false
WDD:WBB,1,1,10116,1,B,20,false
WDD:WBB,1,1,10117,0,B,19,false
WDD:WBB,1,1,10117,1,B,20,false
WDD:WBB,1,1,10118,0,B,17,false
WDD:WBB,1,1,10118,1,B,14,false
WDD:WBB,1,1,10119,0,B,27,false
WDD:WBB,1,1,10119,1,B,18,false
WDD:WBB,1,1,10120,0,B,21,false
WDD:WBB,1,1,10120,1,B,21,false
WDD:WBB,1,1,10121,0,B,29,false
WDD:WBB,1,1,10121,1,B,40,false
WDD:WBB,1,1,10122,0,B,19,false
WDD:WBB,1,1,10122,1,B,24,false
WDD:WBB,1,1,10123,0,B,15,false
WDD:WBB,1,1,10123,1,B,18,false
WDD:WBB,1,1,10124,0,B,29,false
WDD:WBB,1,1,10124,1,B,34,false
WDD:WBB,1,1,10125,0,B,25,false
WDD:WBB,1,1,10125,1,B,24,false
WDD:WBB,1,1,10126,0,B,19,false
WDD:WBB,1,1,10126,1,B,28,false
WDD:WBB,1,1,10127,0,B,59,false
WDD:WBB,1,1,10127,1,B,36,false
WDD:WBB,1,1,10128,0,B,19,false
WDD:WBB,1,1,10128,1,B,20,false
WDD:WBB,1,1,10129,0,B,33,false
WDD:WBB,1,1,10129,1,B,18,false
WDD:WBB,1,1,10130,0,B,17,false
WDD:WBB,1,1,10130,1,B,22,false
WDD:WBB,1,1,10131,0,B,24,false
WDD:WBB,1,1,10131,1,B,26,false
WDD:WBB,1,1,10132,0,B,17,false
WDD:WBB,1,1,10132,1,B,18,false
WDD:WBB,1,1,10133,0,B,19,false
WDD:WBB,1,1,10133,1,B,26,false
WDD:WBB,1,1,10134,0,B,45,false
WDD:WBB,1,1,10134,1,B,26,false
WDD:WBB,1,1,10135,0,B,13,false
WDD:WBB,1,1,10135,1,B,16,false
WDD:WBB,1,1,10136,0,B,25,false
WDD:WBB,1,1,10136,1,B,34,false
WDD:WBB,1,1,10137,0,B,33,false
WDD:WBB,1,1,10137,1,B,30,false
WDD:WBB,1,1,10138,0,B,33,false
WDD:WBB,1,1,10138,1,B,22,false
WDD:WBB,1,1,10139,0,B,25,false
WDD:WBB,1,1,10139,1,B,32,false
WDD:WBB,1,1,10140,0,B,17,false
WDD:WBB,1,1,10140,1,B,26,false
WDD:WBB,1,1,10141,0,B,17,false
WDD:WBB,1,1,10141,1,B,24,false
WDD:WBB,1,1,10142,0,draw,100,true
WDD:WBB,1,1,10142,1,draw,100,true
WDD:WBB,1,1,10143,0,B,55,false
WDD:WBB,1,1,10143,1,B,18,false
WDD:WBB,1,1,10144,0,B,17,false
WDD:WBB,1,1,10144,1,B,18,false
WDD:WBB,1,1,10145,0,B,45,false
WDD:WBB,1,1,10145,1,B,20,false
WDD:WBB,1,1,10146,0,B,93,false
WDD:WBB,1,1,10146,1,B,39,false
WDD:WBB,1,1,10147,0,B,29,false
WDD:WBB,1,1,10147,1,B,18,false
WDD:WBB,1,1,10148,0,B,17,false
WDD:WBB,1,1,10148,1,B,18,false
WDD:WBB,1,1,10149,0,B,19,false
WDD:WBB,1,1,10149,1,B,18,false
WDD:WBB,1,2,20100,0,B,21,false
WDD:WBB,1,2,20100,1,B,28,false
WDD:WBB,1,2,20101,0,B,19,false
WDD:WBB,1,2,20101,1,B,26,false
WDD:WBB,1,2,20102,0,B,25,false
WDD:WBB,1,2,20102,1,B,24,false
WDD:WBB,1,2,20103,0,B,17,false
WDD:WBB,1,2,20103,1,B,26,false
WDD:WBB,1,2,20104,0,B,37,false
WDD:WBB,1,2,20104,1,B,28,false
WDD:WBB,1,2,20105,0,B,17,false
WDD:WBB,1,2,20105,1,B,32,false
WDD:WBB,1,2,20106,0,B,19,false
WDD:WBB,1,2,20106,1,B,16,false
WDD:WBB,1,2,20107,0,B,21,false
WDD:WBB,1,2,20107,1,B,32,false
WDD:WBB,1,2,20108,0,B,17,false
WDD:WBB,1,2,20108,1,B,24,false
WDD:WBB,1,2,20109,0,B,71,false
WDD:WBB,1,2,20109,1,draw,100,true
WDD:WBB,1,2,20110,0,B,23,false
WDD:WBB,1,2,20110,1,B,20,false
WDD:WBB,1,2,20111,0,B,19,false
WDD:WBB,1,2,20111,1,B,16,false
WDD:WBB,1,2,20112,0,draw,100,true
WDD:WBB,1,2,20112,1,B,40,false
WDD:WBB,1,2,20113,0,B,29,false
WDD:WBB,1,2,20113,1,B,27,false
WDD:WBB,1,2,20114,0,B,23,false
WDD:WBB,1,2,20114,1,B,16,false
WDD:WBB,1,2,20115,0,B,17,false
WDD:WBB,1,2,20115,1,B,24,false
WDD:WBB,1,2,20116,0,B,17,false
WDD:WBB,1,2,20116,1,B,22,false
WDD:WBB,1,2,20117,0,B,21,false
WDD:WBB,1,2,20117,1,B,24,false
WDD:WBB,1,2,20118,0,B,19,false
WDD:WBB,1,2,20118,1,B,14,false
WDD:WBB,1,2,20119,0,B,21,false
WDD:WBB,1,2,20119,1,B,18,false
WDD:WBB,1,2,20120,0,B,19,false
WDD:WBB,1,2,20120,1,B,24,false
WDD:WBB,1,2,20121,0,B,37,false
WDD:WBB,1,2,20121,1,draw,100,true
WDD:WBB,1,2,20122,0,B,29,false
WDD:WBB,1,2,20122,1,B,26,false
WDD:WBB,1,2,20123,0,B,23,false
WDD:WBB,1,2,20123,1,B,34,false
WDD:WBB,1,2,20124,0,draw,100,true
WDD:WBB,1,2,20124,1,draw,100,true
WDD:WBB,1,2,20125,0,B,33,false
WDD:WBB,1,2,20125,1,B,24,false
WDD:WBB,1,2,20126,0,B,19,false
WDD:WBB,1,2,20126,1,B,20,false
WDD:WBB,1,2,20127,0,B,29,false
WDD:WBB,1,2,20127,1,B,24,false
WDD:WBB,1,2,20128,0,B,21,false
WDD:WBB,1,2,20128,1,B,20,false
WDD:WBB,1,2,20129,0,B,17,false
WDD:WBB,1,2,20129,1,B,16,false
WDD:WBB,1,2,20130,0,B,25,false
WDD:WBB,1,2,20130,1,B,28,false
WDD:WBB,1,2,20131,0,B,43,false
WDD:WBB,1,2,20131,1,B,22,false
WDD:WBB,1,2,20132,0,B,29,false
WDD:WBB,1,2,20132,1,B,20,false
WDD:WBB,1,2,20133,0,B,21,false
WDD:WBB,1,2,20133,1,B,18,false
WDD:WBB,1,2,20134,0,B,17,false
WDD:WBB,1,2,20134,1,B,20,false
WDD:WBB,1,2,20135,0,B,39,false
WDD:WBB,1,2,20135,1,B,32,false
WDD:WBB,1,2,20136,0,B,17,false
WDD:WBB,1,2,20136,1,B,18,false
WDD:WBB,1,2,20137,0,B,17,false
WDD:WBB,1,2,20137,1,B,26,false
WDD:WBB,1,2,20138,0,B,25,false
WDD:WBB,1,2,20138,1,B,20,false
WDD:WBB,1,2,20139,0,B,17,false
WDD:WBB,1,2,20139,1,B,28,false
WDD:WBB,1,2,20140,0,B,29,false
WDD:WBB,1,2,20140,1,B,32,false
WDD:WBB,1,2,20141,0,B,19,false
WDD:WBB,1,2,20141,1,B,22,false
WDD:WBB,1,2,20142,0,B,23,false
WDD:WBB,1,2,20142,1,B,22,false
WDD:WBB,1,2,20143,0,B,15,false
WDD:WBB,1,2,20143,1,B,17,false
WDD:WBB,1,2,20144,0,B,15,false
WDD:WBB,1,2,20144,1,B,28,false
WDD:WBB,1,2,20145,0,B,15,false
WDD:WBB,1,2,20145,1,B,28,false
WDD:WBB,1,2,20146,0,B,15,false
WDD:WBB,1,2,20146,1,B,30,false
WDD:WBB,1,2,20147,0,B,31,false
WDD:WBB,1,2,20147,1,B,20,false
WDD:WBB,1,2,20148,0,B,17,false
WDD:WBB,1,2,20148,1,B,16,false
WDD:WBB,1,2,20149,0,B,27,false
WDD:WBB,1,2,20149,1,B,20,false
WDD:WBB,1,3,30100,0,B,23,false
WDD:WBB,1,3,30100,1,B,32,false
WDD:WBB,1,3,30101,0,B,33,false
WDD:WBB,1,3,30101,1,B,40,false
WDD:WBB,1,3,30102,0,A,21,false
WDD:WBB,1,3,30102,1,A,26,false
WDD:WBB,1,3,30103,0,draw,100,true
WDD:WBB,1,3,30103,1,A,18,false
WDD:WBB,1,3,30104,0,A,29,false
WDD:WBB,1,3,30104,1,A,32,false
WDD:WBB,1,3,30105,0,B,21,false
WDD:WBB,1,3,30105,1,A,20,false
WDD:WBB,1,3,30106,0,B,19,false
WDD:WBB,1,3,30106,1,A,22,false
WDD:WBB,1,3,30107,0,A,21,false
WDD:WBB,1,3,30107,1,B,30,false
WDD:WBB,1,3,30108,0,A,29,false
WDD:WBB,1,3,30108,1,B,22,false
WDD:WBB,1,3,30109,0,A,23,false
WDD:WBB,1,3,30109,1,A,22,false
WDD:WBB,1,3,30110,0,A,23,false
WDD:WBB,1,3,30110,1,A,16,false
WDD:WBB,1,3,30111,0,A,17,false
WDD:WBB,1,3,30111,1,A,24,false
WDD:WBB,1,3,30112,0,A,29,false
WDD:WBB,1,3,30112,1,A,18,false
WDD:WBB,1,3,30113,0,B,17,false
WDD:WBB,1,3,30113,1,A,26,false
WDD:WBB,1,3,30114,0,A,19,false
WDD:WBB,1,3,30114,1,A,16,false
WDD:WBB,1,3,30115,0,B,23,false
