pair_id,seed,mirror,pos_a,first_mover,comp_a_wdd,comp_a_wcc,comp_a_wbb,comp_b_wdd,comp_b_wcc,comp_b_wbb,winner_label,turns,unresolved
0,1,0,P1,A,0,0,6,0,1,5,B,32,false
0,1,1,P2,B,0,0,6,0,1,5,A,44,false
0,2,0,P1,A,0,0,6,0,1,5,A,53,false
0,2,1,P2,B,0,0,6,0,1,5,B,53,false
0,3,0,P1,A,0,0,6,0,1,5,A,37,false
0,3,1,P2,B,0,0,6,0,1,5,A,40,false
0,4,0,P1,A,0,0,6,0,1,5,A,49,false
0,4,1,P2,B,0,0,6,0,1,5,A,42,false
0,5,0,P1,A,0,0,6,0,1,5,A,51,false
0,5,1,P2,B,0,0,6,0,1,5,A,38,false
1,1001,0,P1,A,0,0,6,0,2,4,A,41,false
1,1001,1,P2,B,0,0,6,0,2,4,A,40,false
1,1002,0,P1,A,0,0,6,0,2,4,A,37,false
1,1002,1,P2,B,0,0,6,0,2,4,A,32,false
1,1003,0,P1,A,0,0,6,0,2,4,A,51,false
1,1003,1,P2,B,0,0,6,0,2,4,A,29,false
1,1004,0,P1,A,0,0,6,0,2,4,B,40,false
1,1004,1,P2,B,0,0,6,0,2,4,A,44,false
1,1005,0,P1,A,0,0,6,0,2,4,A,59,false
1,1005,1,P2,B,0,0,6,0,2,4,A,48,false
2,2001,0,P1,A,0,0,6,0,3,3,A,41,false
2,2001,1,P2,B,0,0,6,0,3,3,A,36,false
2,2002,0,P1,A,0,0,6,0,3,3,A,45,false
2,2002,1,P2,B,0,0,6,0,3,3,A,38,false
2,2003,0,P1,A,0,0,6,0,3,3,A,35,false
2,2003,1,P2,B,0,0,6,0,3,3,A,38,false
2,2004,0,P1,A,0,0,6,0,3,3,A,29,false
2,2004,1,P2,B,0,0,6,0,3,3,A,36,false
2,2005,0,P1,A,0,0,6,0,3,3,A,47,false
2,2005,1,P2,B,0,0,6,0,3,3,A,20,false
3,3001,0,P1,A,0,0,6,0,4,2,A,51,false
3,3001,1,P2,B,0,0,6,0,4,2,A,52,false
3,3002,0,P1,A,0,0,6,0,4,2,A,27,false
3,3002,1,P2,B,0,0,6,0,4,2,A,32,false
3,3003,0,P1,A,0,0,6,0,4,2,A,29,false
3,3003,1,P2,B,0,0,6,0,4,2,A,30,false
3,3004,0,P1,A,0,0,6,0,4,2,A,41,false
3,3004,1,P2,B,0,0,6,0,4,2,A,36,false
3,3005,0,P1,A,0,0,6,0,4,2,A,37,false
3,3005,1,P2,B,0,0,6,0,4,2,A,46,false
4,4001,0,P1,A,0,0,6,0,5,1,A,31,false
4,4001,1,P2,B,0,0,6,0,5,1,A,22,false
4,4002,0,P1,A,0,0,6,0,5,1,A,43,false
4,4002,1,P2,B,0,0,6,0,5,1,A,26,false
4,4003,0,P1,A,0,0,6,0,5,1,A,41,false
4,4003,1,P2,B,0,0,6,0,5,1,A,32,false
4,4004,0,P1,A,0,0,6,0,5,1,A,41,false
4,4004,1,P2,B,0,0,6,0,5,1,A,30,false
4,4005,0,P1,A,0,0,6,0,5,1,A,21,false
4,4005,1,P2,B,0,0,6,0,5,1,A,24,false
5,5001,0,P1,A,0,0,6,0,6,0,A,29,false
5,5001,1,P2,B,0,0,6,0,6,0,A,29,false
5,5002,0,P1,A,0,0,6,0,6,0,A,21,false
5,5002,1,P2,B,0,0,6,0,6,0,A,22,false
5,5003,0,P1,A,0,0,6,0,6,0,A,36,false
5,5003,1,P2,B,0,0,6,0,6,0,A,32,false
5,5004,0,P1,A,0,0,6,0,6,0,A,28,false
5,5004,1,P2,B,0,0,6,0,6,0,A,43,false
5,5005,0,P1,A,0,0,6,0,6,0,A,34,false
5,5005,1,P2,B,0,0,6,0,6,0,A,32,false
6,6001,0,P1,A,0,0,6,1,0,5,A,33,false
6,6001,1,P2,B,0,0,6,1,0,5,A,40,false
6,6002,0,P1,A,0,0,6,1,0,5,B,36,false
6,6002,1,P2,B,0,0,6,1,0,5,A,34,false
6,6003,0,P1,A,0,0,6,1,0,5,A,49,false
6,6003,1,P2,B,0,0,6,1,0,5,A,40,false
