pair_id,seed,mirror,pos_a,first_mover,comp_a_wdd,comp_a_wcc,comp_a_wbb,cost_a,comp_b_wdd,comp_b_wcc,comp_b_wbb,cost_b,winner_label,turns,unresolved
0,1,0,P1,A,0,2,1,28,1,0,2,29,B,34,false
0,1,1,P2,B,0,2,1,28,1,0,2,29,B,33,false
0,2,0,P1,A,0,2,1,28,1,0,2,29,B,37,false
0,2,1,P2,B,0,2,1,28,1,0,2,29,B,41,false
0,3,0,P1,A,0,2,1,28,1,0,2,29,A,23,false
0,3,1,P2,B,0,2,1,28,1,0,2,29,B,38,false
0,4,0,P1,A,0,2,1,28,1,0,2,29,B,80,false
0,4,1,P2,B,0,2,1,28,1,0,2,29,A,42,false
0,5,0,P1,A,0,2,1,28,1,0,2,29,B,44,false
0,5,1,P2,B,0,2,1,28,1,0,2,29,B,67,false
0,6,0,P1,A,0,2,1,28,1,0,2,29,B,24,false
0,6,1,P2,B,0,2,1,28,1,0,2,29,B,49,false
0,7,0,P1,A,0,2,1,28,1,0,2,29,B,41,false
0,7,1,P2,B,0,2,1,28,1,0,2,29,A,27,false
0,8,0,P1,A,0,2,1,28,1,0,2,29,B,32,false
0,8,1,P2,B,0,2,1,28,1,0,2,29,B,37,false
0,9,0,P1,A,0,2,1,28,1,0,2,29,B,35,false
0,9,1,P2,B,0,2,1,28,1,0,2,29,B,33,false
0,10,0,P1,A,0,2,1,28,1,0,2,29,B,32,false
0,10,1,P2,B,0,2,1,28,1,0,2,29,B,63,false
1,1001,0,P1,A,0,2,1,28,1,3,0,29,A,28,false
1,1001,1,P2,B,0,2,1,28,1,3,0,29,B,31,false
1,1002,0,P1,A,0,2,1,28,1,3,0,29,A,29,false
1,1002,1,P2,B,0,2,1,28,1,3,0,29,A,43,false
1,1003,0,P1,A,0,2,1,28,1,3,0,29,B,18,false
1,1003,1,P2,B,0,2,1,28,1,3,0,29,B,32,false
1,1004,0,P1,A,0,2,1,28,1,3,0,29,B,38,false
