price,pair_id,seed,mirror,pos_a,comp_a,comp_b,cost_a,cost_b,winner_label,turns,unresolved
A,0,1,0,P1,0w0c3b,0w2c2b,42,42,B,30,false
A,0,1,1,P2,0w0c3b,0w2c2b,42,42,B,25,false
A,0,2,0,P1,0w0c3b,0w2c2b,42,42,A,25,false
A,0,2,1,P2,0w0c3b,0w2c2b,42,42,B,25,false
A,0,3,0,P1,0w0c3b,0w2c2b,42,42,A,19,false
A,0,3,1,P2,0w0c3b,0w2c2b,42,42,B,17,false
A,0,4,0,P1,0w0c3b,0w2c2b,42,42,B,30,false
A,0,4,1,P2,0w0c3b,0w2c2b,42,42,A,37,false
A,0,5,0,P1,0w0c3b,0w2c2b,42,42,B,48,false
A,0,5,1,P2,0w0c3b,0w2c2b,42,42,B,27,false
A,0,6,0,P1,0w0c3b,0w2c2b,42,42,B,18,false
A,0,6,1,P2,0w0c3b,0w2c2b,42,42,B,19,false
A,0,7,0,P1,0w0c3b,0w2c2b,42,42,A,23,false
A,0,7,1,P2,0w0c3b,0w2c2b,42,42,B,27,false
A,0,8,0,P1,0w0c3b,0w2c2b,42,42,B,50,false
A,0,8,1,P2,0w0c3b,0w2c2b,42,42,A,30,false
A,0,9,0,P1,0w0c3b,0w2c2b,42,42,B,22,false
A,0,9,1,P2,0w0c3b,0w2c2b,42,42,B,37,false
A,0,10,0,P1,0w0c3b,0w2c2b,42,42,B,24,false
A,0,10,1,P2,0w0c3b,0w2c2b,42,42,A,24,false
A,0,11,0,P1,0w0c3b,0w2c2b,42,42,A,19,false
A,0,11,1,P2,0w0c3b,0w2c2b,42,42,B,17,false
A,0,12,0,P1,0w0c3b,0w2c2b,42,42,B,40,false
A,0,12,1,P2,0w0c3b,0w2c2b,42,42,A,30,false
A,0,13,0,P1,0w0c3b,0w2c2b,42,42,A,25,false
A,0,13,1,P2,0w0c3b,0w2c2b,42,42,B,25,false
A,0,14,0,P1,0w0c3b,0w2c2b,42,42,B,24,false
A,0,14,1,P2,0w0c3b,0w2c2b,42,42,B,25,false
A,0,15,0,P1,0w0c3b,0w2c2b,42,42,A,21,false
A,0,15,1,P2,0w0c3b,0w2c2b,42,42,B,27,false
A,0,16,0,P1,0w0c3b,0w2c2b,42,42,B,24,false
A,0,16,1,P2,0w0c3b,0w2c2b,42,42,A,34,false
A,0,17,0,P1,0w0c3b,0w2c2b,42,42,A,35,false
A,0,17,1,P2,0w0c3b,0w2c2b,42,42,B,27,false
A,0,18,0,P1,0w0c3b,0w2c2b,42,42,B,18,false
A,0,18,1,P2,0w0c3b,0w2c2b,42,42,B,25,false
A,0,19,0,P1,0w0c3b,0w2c2b,42,42,B,22,false
A,0,19,1,P2,0w0c3b,0w2c2b,42,42,A,26,false
A,0,20,0,P1,0w0c3b,0w2c2b,42,42,A,23,false
A,0,20,1,P2,0w0c3b,0w2c2b,42,42,B,31,false
A,1,1,0,P1,0w0c3b,0w4c1b,42,42,B,18,false
A,1,1,1,P2,0w0c3b,0w4c1b,42,42,A,22,false
A,1,2,0,P1,0w0c3b,0w4c1b,42,42,B,20,false
A,1,2,1,P2,0w0c3b,0w4c1b,42,42,B,21,false
A,1,3,0,P1,0w0c3b,0w4c1b,42,42,B,20,false
A,1,3,1,P2,0w0c3b,0w4c1b,42,42,A,20,false
A,1,4,0,P1,0w0c3b,0w4c1b,42,42,B,20,false
