price,pair_id,seed,mirror,pos_a,comp_a,comp_b,cost_a,cost_b,winner_label,turns,unresolved
B,0,1,0,P1,0w0c3b,0w3c1b,36,33,A,21,false
B,0,1,1,P2,0w0c3b,0w3c1b,36,33,B,25,false
B,0,2,0,P1,0w0c3b,0w3c1b,36,33,A,21,false
B,0,2,1,P2,0w0c3b,0w3c1b,36,33,draw,100,true
B,0,3,0,P1,0w0c3b,0w3c1b,36,33,A,17,false
B,0,3,1,P2,0w0c3b,0w3c1b,36,33,B,21,false
B,0,4,0,P1,0w0c3b,0w3c1b,36,33,B,40,false
B,0,4,1,P2,0w0c3b,0w3c1b,36,33,A,28,false
B,0,5,0,P1,0w0c3b,0w3c1b,36,33,B,36,false
B,0,5,1,P2,0w0c3b,0w3c1b,36,33,B,23,false
B,0,6,0,P1,0w0c3b,0w3c1b,36,33,B,18,false
B,0,6,1,P2,0w0c3b,0w3c1b,36,33,B,23,false
B,0,7,0,P1,0w0c3b,0w3c1b,36,33,A,25,false
B,0,7,1,P2,0w0c3b,0w3c1b,36,33,A,24,false
B,0,8,0,P1,0w0c3b,0w3c1b,36,33,A,30,false
B,0,8,1,P2,0w0c3b,0w3c1b,36,33,B,21,false
B,0,9,0,P1,0w0c3b,0w3c1b,36,33,A,23,false
B,0,9,1,P2,0w0c3b,0w3c1b,36,33,A,34,false
B,0,10,0,P1,0w0c3b,0w3c1b,36,33,B,22,false
B,0,10,1,P2,0w0c3b,0w3c1b,36,33,B,29,false
B,0,11,0,P1,0w0c3b,0w3c1b,36,33,A,27,false
B,0,11,1,P2,0w0c3b,0w3c1b,36,33,A,34,false
B,0,12,0,P1,0w0c3b,0w3c1b,36,33,A,25,false
B,0,12,1,P2,0w0c3b,0w3c1b,36,33,A,20,false
B,0,13,0,P1,0w0c3b,0w3c1b,36,33,A,26,false
B,0,13,1,P2,0w0c3b,0w3c1b,36,33,A,23,false
B,0,14,0,P1,0w0c3b,0w3c1b,36,33,B,30,false
B,0,14,1,P2,0w0c3b,0w3c1b,36,33,B,23,false
B,0,15,0,P1,0w0c3b,0w3c1b,36,33,A,21,false
B,0,15,1,P2,0w0c3b,0w3c1b,36,33,B,25,false
B,0,16,0,P1,0w0c3b,0w3c1b,36,33,A,19,false
B,0,16,1,P2,0w0c3b,0w3c1b,36,33,A,22,false
B,0,17,0,P1,0w0c3b,0w3c1b,36,33,A,37,false
B,0,17,1,P2,0w0c3b,0w3c1b,36,33,A,32,false
B,0,18,0,P1,0w0c3b,0w3c1b,36,33,A,18,false
B,0,18,1,P2,0w0c3b,0w3c1b,36,33,B,29,false
B,0,19,0,P1,0w0c3b,0w3c1b,36,33,B,28,false
B,0,19,1,P2,0w0c3b,0w3c1b,36,33,B,25,false
B,0,20,0,P1,0w0c3b,0w3c1b,36,33,A,23,false
B,0,20,1,P2,0w0c3b,0w3c1b,36,33,A,64,false
B,1,1,0,P1,0w0c3b,0w5c0b,36,35,A,24,false
B,1,1,1,P2,0w0c3b,0w5c0b,36,35,A,18,false
B,1,2,0,P1,0w0c3b,0w5c0b,36,35,B,24,false
B,1,2,1,P2,0w0c3b,0w5c0b,36,35,B,21,false
B,1,3,0,P1,0w0c3b,0w5c0b,36,35,A,21,false
B,1,3,1,P2,0w0c3b,0w5c0b,36,35,B,15,false
B,1,4,0,P1,0w0c3b,0w5c0b,36,35,B,24,false
B,1,4,1,P2,0w0c3b,0w5c0b,36,35,B,19,false
B,1,5,0,P1,0w0c3b,0w5c0b,36,35,B,22,false
B,1,5,1,P2,0w0c3b,0w5c0b,36,35,A,22,false
B,1,6,0,P1,0w0c3b,0w5c0b,36,35,A,20,false
B,1,6,1,P2,0w0c3b,0w5c0b,36,35,B,13,false
B,1,7,0,P1,0w0c3b,0w5c0b,36,35,B,18,false
B,1,7,1,P2,0w0c3b,0w5c0b,36,35,B,19,false
B,1,8,0,P1,0w0c3b,0w5c0b,36,35,B,22,false
B,1,8,1,P2,0w0c3b,0w5c0b,36,35,B,19,false
B,1,9,0,P1,0w0c3b,0w5c0b,36,35,B,20,false
B,1,9,1,P2,0w0c3b,0w5c0b,36,35,B,19,false
B,1,10,0,P1,0w0c3b,0w5c0b,36,35,B,18,false
B,1,10,1,P2,0w0c3b,0w5c0b,36,35,B,23,false
B,1,11,0,P1,0w0c3b,0w5c0b,36,35,B,16,false
B,1,11,1,P2,0w0c3b,0w5c0b,36,35,A,27,false
B,1,12,0,P1,0w0c3b,0w5c0b,36,35,B,20,false
B,1,12,1,P2,0w0c3b,0w5c0b,36,35,A,18,false
B,1,13,0,P1,0w0c3b,0w5c0b,36,35,B,22,false
B,1,13,1,P2,0w0c3b,0w5c0b,36,35,B,19,false
B,1,14,0,P1,0w0c3b,0w5c0b,36,35,B,20,false
B,1,14,1,P2,0w0c3b,0w5c0b,36,35,B,21,false
B,1,15,0,P1,0w0c3b,0w5c0b,36,35,B,20,false
B,1,15,1,P2,0w0c3b,0w5c0b,36,35,A,19,false
B,1,16,0,P1,0w0c3b,0w5c0b,36,35,B,18,false
B,1,16,1,P2,0w0c3b,0w5c0b,36,35,B,21,false
B,1,17,0,P1,0w0c3b,0w5c0b,36,35,B,30,false
B,1,17,1,P2,0w0c3b,0w5c0b,36,35,B,27,false
B,1,18,0,P1,0w0c3b,0w5c0b,36,35,B,20,false
B,1,18,1,P2,0w0c3b,0w5c0b,36,35,B,15,false
B,1,19,0,P1,0w0c3b,0w5c0b,36,35,B,20,false
B,1,19,1,P2,0w0c3b,0w5c0b,36,35,A,25,false
B,1,20,0,P1,0w0c3b,0w5c0b,36,35,B,20,false
B,1,20,1,P2,0w0c3b,0w5c0b,36,35,A,31,false
B,2,1,0,P1,0w0c3b,1w1c2b,36,36,B,26,false
B,2,1,1,P2,0w0c3b,1w1c2b,36,36,A,30,false
B,2,2,0,P1,0w0c3b,1w1c2b,36,36,B,34,false
B,2,2,1,P2,0w0c3b,1w1c2b,36,36,A,24,false
B,2,3,0,P1,0w0c3b,1w1c2b,36,36,B,22,false
B,2,3,1,P2,0w0c3b,1w1c2b,36,36,A,19,false
B,2,4,0,P1,0w0c3b,1w1c2b,36,36,A,27,false
B,2,4,1,P2,0w0c3b,1w1c2b,36,36,B,31,false
B,2,5,0,P1,0w0c3b,1w1c2b,36,36,B,26,false
B,2,5,1,P2,0w0c3b,1w1c2b,36,36,B,31,false
B,2,6,0,P1,0w0c3b,1w1c2b,36,36,B,22,false
B,2,6,1,P2,0w0c3b,1w1c2b,36,36,B,21,false
B,2,7,0,P1,0w0c3b,1w1c2b,36,36,A,23,false
B,2,7,1,P2,0w0c3b,1w1c2b,36,36,A,26,false
B,2,8,0,P1,0w0c3b,1w1c2b,36,36,B,34,false
B,2,8,1,P2,0w0c3b,1w1c2b,36,36,B,31,false
B,2,9,0,P1,0w0c3b,1w1c2b,36,36,A,21,false
B,2,9,1,P2,0w0c3b,1w1c2b,36,36,A,34,false
B,2,10,0,P1,0w0c3b,1w1c2b,36,36,A,27,false
B,2,10,1,P2,0w0c3b,1w1c2b,36,36,A,28,false
B,2,11,0,P1,0w0c3b,1w1c2b,36,36,B,26,false
B,2,11,1,P2,0w0c3b,1w1c2b,36,36,A,18,false
B,2,12,0,P1,0w0c3b,1w1c2b,36,36,B,30,false
B,2,12,1,P2,0w0c3b,1w1c2b,36,36,A,22,false
B,2,13,0,P1,0w0c3b,1w1c2b,36,36,A,24,false
B,2,13,1,P2,0w0c3b,1w1c2b,36,36,A,22,false
B,2,14,0,P1,0w0c3b,1w1c2b,36,36,B,28,false
B,2,14,1,P2,0w0c3b,1w1c2b,36,36,A,26,false
B,2,15,0,P1,0w0c3b,1w1c2b,36,36,A,40,false
B,2,15,1,P2,0w0c3b,1w1c2b,36,36,B,25,false
B,2,16,0,P1,0w0c3b,1w1c2b,36,36,B,26,false
B,2,16,1,P2,0w0c3b,1w1c2b,36,36,A,24,false
B,2,17,0,P1,0w0c3b,1w1c2b,36,36,A,41,false
B,2,17,1,P2,0w0c3b,1w1c2b,36,36,A,28,false
B,2,18,0,P1,0w0c3b,1w1c2b,36,36,B,18,false
B,2,18,1,P2,0w0c3b,1w1c2b,36,36,B,19,false
B,2,19,0,P1,0w0c3b,1w1c2b,36,36,B,24,false
B,2,19,1,P2,0w0c3b,1w1c2b,36,36,B,23,false
B,2,20,0,P1,0w0c3b,1w1c2b,36,36,A,29,false
B,2,20,1,P2,0w0c3b,1w1c2b,36,36,A,33,false
B,3,1,0,P1,0w0c3b,1w4c0b,36,33,A,25,false
B,3,1,1,P2,0w0c3b,1w4c0b,36,33,A,23,false
B,3,2,0,P1,0w0c3b,1w4c0b,36,33,B,26,false
B,3,2,1,P2,0w0c3b,1w4c0b,36,33,A,21,false
B,3,3,0,P1,0w0c3b,1w4c0b,36,33,A,19,false
B,3,3,1,P2,0w0c3b,1w4c0b,36,33,B,15,false
B,3,4,0,P1,0w0c3b,1w4c0b,36,33,B,26,false
B,3,4,1,P2,0w0c3b,1w4c0b,36,33,B,23,false
B,3,5,0,P1,0w0c3b,1w4c0b,36,33,A,28,false
